Parish,Latitude,Longitude,Minimum,Maximum,Mean PM 2.5,Median PM 2.5,25th Percentile,75th Percentile
Nakasero II(2),0.32232,32.5757,0.2,153.7,8.6,6.3,4.2,10.1
Kansanga,0.29875,32.615,0.2,108.9,6.8,5.1,3.3,8.3
Nansana East,0.3759,32.528,0,242.3,17.9,11.9,7.5,20.5
Lubaga,0.295314,32.553682,0.2,652.8,18.7,13.2,8.7,21.5
Nansana West,0.363,32.529,1.4,219.6,16.3,10.2,6.7,19
Lukuli(2),0.2836,32.6,0,111.1,9.2,6.8,4.3,11.4
Bugolobi,0.3075,32.6206,0,140.7,6.8,5.1,3.3,8.3
Kyaliwajjala,0.381576,32.647109,0,364.2,14.4,9.8,6.3,15.7
Seguku,0.235668,32.55764,0,466.1,16.1,11.4,7.9,17.5
Kiwafu,0.059604,32.46032,0,406.3,9.2,7.3,4.8,11.2
Kiwatule,0.373078,32.628226,0,234.2,18.1,11.6,7.2,19.9
Civic Centre,0.314,32.59,0,143.8,11.6,9.5,6.5,14
Makindye I,0.289,32.589,0,130.7,11.8,8.2,5.2,13.7
