Parish,Latitude,Longitude,Minimum,Maximum,Mean PM 2.5,Median PM 2.5,25th Percentile,75th Percentile
Nakasero II(2),0.32232,32.5757,0,134.3,29,28.5,12.8,40.8
Kansanga,0.29875,32.615,0,121.1,25.8,23.1,10.3,37.5
Nansana East,0.3759,32.528,0,187.9,45.1,40.4,24.7,58
Lubaga,0.295314,32.553682,0,127,33.4,32.5,17.9,44.7
Nansana West,0.363,32.529,4.8,156.3,40.6,38.4,26.8,49.1
Lukuli(2),0.2836,32.6,0,176.5,30.9,27.6,11.2,43.2
Bugolobi,0.3075,32.6206,0,178.8,30,27.6,11.1,42.8
Kyaliwajjala,0.381576,32.647109,0,141.3,39.1,37,20.9,50.1
Seguku,0.235668,32.55764,0,140.8,31.4,30.5,16,42.9
Kiwafu,0.059604,32.46032,0,120.5,21.2,17,6.8,33.3
Kiwatule,0.373078,32.628226,0,152.6,31.1,27.6,12,43
Civic Centre,0.314,32.59,0,159.2,31.4,30.4,14.3,43.1
Makindye I,0.289,32.589,0,253.8,35,32,15.5,46
