,nakasero_ii(2),kansanga,nansana_east,lubaga,nansana_west,lukuli(2),bugolobi,kyaliwajjala,seguku,kiwafu,kiwatule,civic_centre,makindye_i
nakasero_ii(2),0,0.310131952,0.427194978,0.444823412,0.43115697,0.312891172,0.313014562,0.406936409,0.397271809,0.370977692,0.442871078,0.342989236,0.346529725
kansanga,0.310131952,0,0.472912112,0.497540813,0.478182333,0.296550208,0.253522129,0.440705564,0.448101047,0.376556571,0.478457842,0.389456339,0.362304209
nansana_east,0.427194978,0.472912112,0,0.347283773,0.35757345,0.40904151,0.477719638,0.37905458,0.333311332,0.406483163,0.382624664,0.351278572,0.374914584
lubaga,0.444823412,0.497540813,0.347283773,0,0.355869344,0.44250122,0.499602908,0.385442015,0.325606136,0.423758899,0.35298941,0.352689878,0.403900969
nansana_west,0.43115697,0.478182333,0.35757345,0.355869344,0,0.429018446,0.479255527,0.397383817,0.347703439,0.408571869,0.417061543,0.363655772,0.387382726
lukuli(2),0.312891172,0.296550208,0.40904151,0.44250122,0.429018446,0,0.311373928,0.39683597,0.386370149,0.350721787,0.436747616,0.350964328,0.291711238
bugolobi,0.313014562,0.253522129,0.477719638,0.499602908,0.479255527,0.311373928,0,0.442032681,0.451187713,0.37629664,0.478194943,0.389573879,0.371755213
kyaliwajjala,0.406936409,0.440705564,0.37905458,0.385442015,0.397383817,0.39683597,0.442032681,0,0.358959728,0.3898657,0.391062291,0.355136981,0.388127112
seguku,0.397271809,0.448101047,0.333311332,0.325606136,0.347703439,0.386370149,0.451187713,0.358959728,0,0.366036978,0.360509777,0.323722559,0.356632152
kiwafu,0.370977692,0.376556571,0.406483163,0.423758899,0.408571869,0.350721787,0.37629664,0.3898657,0.366036978,0,0.41967954,0.354506136,0.368829812
kiwatule,0.442871078,0.478457842,0.382624664,0.35298941,0.417061543,0.436747616,0.478194943,0.391062291,0.360509777,0.41967954,0,0.381618168,0.420384151
civic_centre,0.342989236,0.389456339,0.351278572,0.352689878,0.363655772,0.350964328,0.389573879,0.355136981,0.323722559,0.354506136,0.381618168,0,0.33941738
makindye_i,0.346529725,0.362304209,0.374914584,0.403900969,0.387382726,0.291711238,0.371755213,0.388127112,0.356632152,0.368829812,0.420384151,0.33941738,0
