,nakasero_ii(2),kansanga,nansana_east,lubaga,nansana_west,lukuli(2),bugolobi,kyaliwajjala,seguku,kiwafu,kiwatule,civic_centre,makindye_i
nakasero_ii(2),0,0.1899508,0.294856255,0.1965583,0.418008054,0.1812548,0.1838285,0.2299374,0.178320493,0.304886483,0.1899971,0.134368266,0.194510978
kansanga,0.1899508,0,0.367006288,0.2622602,0.468170211,0.1745023,0.1707887,0.29239,0.2232017,0.2642622,0.1921324,0.216755321,0.2364755
nansana_east,0.294856255,0.367006288,0,0.22675678,0.336342489,0.310434443,0.333261638,0.183534078,0.29096912,0.449329487,0.326480617,0.251538815,0.233176955
lubaga,0.1965583,0.2622602,0.22675678,0,0.372807133,0.2366763,0.2626651,0.1910798,0.200634856,0.354729122,0.2439866,0.181186334,0.189675932
nansana_west,0.418008054,0.468170211,0.336342489,0.372807133,0,0.440201267,0.454235023,0.365942522,0.409086764,0.522703915,0.464259874,0.392954212,0.383492372
lukuli(2),0.1812548,0.1745023,0.310434443,0.2366763,0.440201267,0,0.1541024,0.2515532,0.2129706,0.304771,0.2057529,0.174671337,0.163958
bugolobi,0.1838285,0.1707887,0.333261638,0.2626651,0.454235023,0.1541024,0,0.2672662,0.2249782,0.3082415,0.1986083,0.188712407,0.2131568
kyaliwajjala,0.2299374,0.29239,0.183534078,0.1910798,0.365942522,0.2515532,0.2672662,0,0.237071132,0.399151711,0.2461419,0.186403627,0.185874877
seguku,0.178320493,0.2232017,0.29096912,0.200634856,0.409086764,0.2129706,0.2249782,0.237071132,0,0.3127235,0.2177353,0.179007728,0.2061788
kiwafu,0.304886483,0.2642622,0.449329487,0.354729122,0.522703915,0.304771,0.3082415,0.399151711,0.3127235,0,0.311271,0.329759188,0.3536526
kiwatule,0.1899971,0.1921324,0.326480617,0.2439866,0.464259874,0.2057529,0.1986083,0.2461419,0.2177353,0.311271,0,0.202041313,0.2316149
civic_centre,0.134368266,0.216755321,0.251538815,0.181186334,0.392954212,0.174671337,0.188712407,0.186403627,0.179007728,0.329759188,0.202041313,0,0.153588169
makindye_i,0.194510978,0.2364755,0.233176955,0.189675932,0.383492372,0.163958,0.2131568,0.185874877,0.2061788,0.3536526,0.2316149,0.153588169,0
