Parish,Latitude,Longitude,Minimum,Maximum,Mean PM 2.5,Median PM 2.5,25th Percentile,75th Percentile,No. of hourly measurements,6-Month Completeness (%)
Kisugu,0.307489,32.611755,1.1,383.6,39.2,34.7,20.3,49.0,2191,50.16
Kyengera,0.286595,32.506107,1.0,210.2,51.6,44.9,31.8,66.2,2632,60.26
Nakasero II(2),0.32232,32.5757,0.2,259.0,37.7,35.9,19.7,48.4,4349,99.57
Najjera,0.391478,32.62583,1.1,234.8,62.6,53.6,39.3,83.3,1916,43.86
Lukuli(2),0.2836,32.6,0.3,221.7,39.9,35.2,18.2,51.7,3949,90.41
Seguku(2),0.2336,32.5635,0.2,142.5,30.5,27.7,12.4,42.5,3047,69.76
Seguku,0.235668,32.55764,0.7,553.3,47.5,42.3,28.9,59.1,3846,88.05
Kireka,0.347014,32.64936,11.6,282.7,77.3,71.2,55.6,91.6,764,17.49
Kiwafu,0.059604,32.46032,1.3,428.7,30.7,27.9,14.0,43.3,3756,85.99
Civic Centre,0.314,32.59,1.2,221.5,42.9,39.9,26.1,53.3,3559,81.48
Bweyogerere,0.354825,32.67781,1.3,176.2,44.4,41.1,27.0,56.1,2608,59.71
Lubaga,0.295314,32.553682,0.2,715.9,52.1,45.6,32.1,63.8,4055,92.83
Makerere University,0.3323,32.5698,8.2,193.8,50.6,45.8,36.1,60.6,1944,44.51
Makindye I,0.289,32.589,0.6,289.3,45.9,39.2,22.4,57.9,3534,80.91
Naguru II,0.3412,32.602,2.3,184.0,47.0,44.2,32.5,57.5,1960,44.87
Kasubi,0.344,32.553,0.9,253.8,67.9,57.9,41.5,87.5,2919,66.83
Kansanga,0.29875,32.615,0.2,179.9,32.7,30.6,15.6,43.8,4311,98.7
Bukoto I,0.3517,32.591,15.7,247.0,66.1,55.9,42.8,82.4,1864,42.67
Lukuli,0.299,32.592,0.6,433.7,38.8,34.5,18.7,49.9,2561,58.63
Kyebando,0.3564,32.573,3.6,329.5,76.2,64.4,46.9,95.8,3260,74.63
Bunamwaya,0.269993,32.558017,0.0,270.2,66.5,55.0,38.6,86.2,1925,44.07
Busabala,0.2182,32.6176,0.0,285.9,26.3,21.2,7.9,38.1,2849,65.22
Kyanja,0.3875,32.601,9.9,151.4,41.0,37.5,26.3,50.7,664,15.2
Busega,0.3101,32.516,4.2,790.8,75.8,63.9,40.2,102.2,2434,55.72
Nansana East,0.3759,32.528,0.3,326.7,62.4,51.7,36.0,79.8,4093,93.7
Nansana West,0.363,32.529,8.9,269.9,57.7,48.6,36.7,70.3,4053,92.79
Butabika,0.30778,32.651449,1.6,420.7,41.5,35.5,20.1,50.9,2216,50.73
Kyaliwajjala,0.381576,32.647109,0.4,480.2,53.8,48.1,32.6,67.5,3897,89.22
Kiwatule,0.373078,32.628226,0.2,332.3,48.7,40.0,24.2,62.1,3641,83.36
Nakasero II,0.322108,32.576,0.2,248.6,32.3,31.3,16.1,43.5,3061,70.08
Mbuya II,0.325346,32.632288,1.6,483.2,40.6,35.2,19.8,52.4,2270,51.97
Banda,0.341674,32.635306,0.6,293.1,41.9,36.8,20.8,53.0,3251,74.43
Luwafu,0.2689,32.588,2.8,296.0,66.2,56.7,41.0,84.1,1898,43.45
Kireka,0.3655,32.6468,0.4,366.6,35.6,31.1,19.3,45.4,2428,55.59
Nantabulirwa,0.34646,32.70328,0.2,358.1,43.5,38.5,22.2,54.6,2758,63.14
Bugolobi,0.3075,32.6206,0.0,197.7,36.9,34.0,16.5,49.0,3914,89.61
Ntinda,0.360209,32.610756,0.9,435.4,51.0,44.7,33.2,62.7,2077,47.55
